koi_disposition,ra,dec,koi_steff,koi_slogg,koi_srad,koi_kepmag,koi_period,koi_duration,koi_depth,koi_prad,koi_insol,koi_teq,ra,dec,source
CONFIRMED,291.93423,48.141651,5455.0,4.467,0.927,15.347,9.48803557,2.9575,615.8,2.26,93.59,793.0,291.93423,48.141651,Kepler
CONFIRMED,291.93423,48.141651,5455.0,4.467,0.927,15.347,54.4183827,4.507,874.8,2.83,9.11,443.0,291.93423,48.141651,Kepler
CANDIDATE,297.00482,48.134129,5853.0,4.544,0.868,15.436,19.89913995,1.7822,10829.0,14.6,39.3,638.0,297.00482,48.134129,Kepler
FALSE POSITIVE,285.53461,48.28521,5805.0,4.564,0.791,15.597,1.736952453,2.40641,8079.2,33.46,891.96,1395.0,285.53461,48.28521,Kepler
CONFIRMED,288.75488,48.2262,6031.0,4.438,1.046,15.509,2.525591777,1.6545,603.3,2.75,926.16,1406.0,288.75488,48.2262,Kepler
CONFIRMED,296.28613,48.22467,6046.0,4.486,0.972,15.714,11.09432054,4.5945,1517.5,3.9,114.81,835.0,296.28613,48.22467,Kepler
CONFIRMED,296.28613,48.22467,6046.0,4.486,0.972,15.714,4.13443512,3.1402,686.0,2.77,427.65,1160.0,296.28613,48.22467,Kepler
CONFIRMED,296.28613,48.22467,6046.0,4.486,0.972,15.714,2.56658897,2.429,226.5,1.59,807.74,1360.0,296.28613,48.22467,Kepler
FALSE POSITIVE,298.86435,42.151569,6227.0,3.986,1.958,12.66,7.36178958,5.022,233.7,39.21,767.22,1342.0,298.86435,42.151569,Kepler
CONFIRMED,286.99948,48.37579,5031.0,4.485,0.848,15.841,16.06864674,3.5347,4914.3,5.76,30.75,600.0,286.99948,48.37579,Kepler
CONFIRMED,286.80847,49.316399,5820.0,4.457,0.964,11.338,2.470613377,1.74319,14231.0,13.04,761.46,1339.0,286.80847,49.316399,Kepler
CONFIRMED,292.24728,47.969521,6440.0,4.019,1.952,10.463,2.204735417,3.88864,6674.7,16.1,4148.92,2048.0,292.24728,47.969521,Kepler
CONFIRMED,281.28812,42.45108,6225.0,4.169,1.451,13.563,3.522498429,3.19843,9145.7,14.59,1264.67,1521.0,281.28812,42.45108,Kepler
CONFIRMED,295.64871,48.49556,5833.0,4.407,1.022,12.772,3.709214104,2.6302,131.1,1.16,500.46,1206.0,295.64871,48.49556,Kepler
FALSE POSITIVE,297.07993,47.597401,5795.0,4.554,0.848,15.472,11.521446064,3.6399,17984.0,150.51,75.88,753.0,297.07993,47.597401,Kepler
FALSE POSITIVE,289.25821,47.635319,5043.0,4.591,0.68,15.487,19.40393776,12.2155,8918.7,7.18,17.69,523.0,289.25821,47.635319,Kepler
FALSE POSITIVE,295.81454,47.69035,6117.0,4.496,0.947,15.341,19.221388942,4.79843,74284.0,49.29,55.97,698.0,295.81454,47.69035,Kepler
FALSE POSITIVE,297.15442,47.668701,5152.0,4.517,0.786,15.788,16.46983774,9.4378,10479.0,7.94,29.61,595.0,297.15442,47.668701,Kepler
CONFIRMED,288.13824,47.724449,4856.0,4.583,0.696,15.302,9.27358173,3.2875,1288.3,2.47,41.85,649.0,288.13824,47.724449,Kepler
CONFIRMED,283.71088,47.86327,4537.0,4.648,0.672,15.784,6.02930329,1.5821,1912.7,2.85,50.04,678.0,283.71088,47.86327,Kepler
FALSE POSITIVE,283.76547,47.804298,4989.0,4.504,0.819,15.269,2.696370652,3.6129,397.9,1.58,305.34,1066.0,283.76547,47.804298,Kepler
CONFIRMED,292.37613,47.880989,5185.0,4.44,0.91,15.416,5.349553819,3.0278,831.0,2.55,168.99,919.0,292.37613,47.880989,Kepler
CONFIRMED,292.37613,47.880989,5185.0,4.44,0.91,15.416,3.94105221,2.5984,363.3,1.7,253.15,1018.0,292.37613,47.880989,Kepler
CONFIRMED,292.37613,47.880989,5185.0,4.44,0.91,15.416,8.10904807,3.596,217.4,1.3,97.03,800.0,292.37613,47.880989,Kepler
FALSE POSITIVE,292.27374,37.671558,5543.0,4.081,1.58,12.394,386.6030528,6.8057,24927.0,41.5,1.84,297.0,292.27374,37.671558,Kepler
CONFIRMED,290.46512,47.92918,4954.0,4.5,0.828,15.377,21.67699193,3.4555,857.2,2.95,18.64,530.0,290.46512,47.92918,Kepler
CONFIRMED,297.80826,47.946671,5339.0,4.552,0.847,15.861,4.99677968,2.1717,934.7,2.78,166.95,917.0,297.80826,47.946671,Kepler
CONFIRMED,294.26581,49.314091,5644.0,4.564,0.831,15.356,4.280963604,2.875,750.8,2.3,247.87,1012.0,294.26581,49.314091,Kepler
FALSE POSITIVE,295.66522,49.351009,5714.0,4.563,0.831,15.525,1.50635409,1.5155,2211.7,4.53,1054.12,1452.0,295.66522,49.351009,Kepler
FALSE POSITIVE,296.69861,49.316479,5520.0,4.466,0.983,15.207,670.645531,53.412,18091.0,14.14,0.35,196.0,296.69861,49.316479,Kepler
FALSE POSITIVE,283.72592,49.479519,6144.0,4.402,1.091,15.25,61.2563628,7.633,5123.3,39.87,15.43,505.0,283.72592,49.479519,Kepler
CONFIRMED,291.72202,49.480869,5481.0,4.369,1.036,15.172,38.3775486,5.588,724.2,2.82,18.53,529.0,291.72202,49.480869,Kepler
CONFIRMED,286.99948,48.37579,5031.0,4.485,0.848,15.841,41.19725502,4.6297,2213.9,3.86,8.76,439.0,286.99948,48.37579,Kepler
CONFIRMED,286.99948,48.37579,5031.0,4.485,0.848,15.841,6.252962249,2.5819,1036.9,2.65,108.3,823.0,286.99948,48.37579,Kepler
CONFIRMED,297.02563,48.478588,5015.0,4.499,0.826,15.39,16.01308419,3.2554,1121.9,3.1,29.31,593.0,297.02563,48.478588,Kepler
CONFIRMED,285.71854,48.505859,5586.0,4.56,0.798,15.082,32.62876672,4.7971,1804.8,3.36,15.55,506.0,285.71854,48.505859,Kepler
CONFIRMED,285.71854,48.505859,5586.0,4.56,0.798,15.082,91.7732862,6.473,652.0,2.12,3.92,359.0,285.71854,48.505859,Kepler
CONFIRMED,292.16705,48.727589,5712.0,4.359,1.082,15.263,4.959319244,2.22739,9802.0,12.21,349.4,1103.0,292.16705,48.727589,Kepler
FALSE POSITIVE,297.92365,48.777321,5550.0,4.468,0.91,15.54,2.701287801,3.3827,860.4,6.54,527.81,1222.0,297.92365,48.777321,Kepler
CONFIRMED,298.45685,48.791592,6075.0,4.486,0.969,15.395,4.49876511,3.7362,460.0,2.1,389.62,1133.0,298.45685,48.791592,Kepler
FALSE POSITIVE,291.0939,48.933842,6074.0,4.391,1.063,15.536,19.651209505,5.2514,11766.0,12.42,67.03,730.0,291.0939,48.933842,Kepler
CONFIRMED,287.88733,46.276241,5779.0,4.339,1.087,12.791,5.412203927,2.9472,601.6,2.94,337.68,1093.0,287.88733,46.276241,Kepler
CONFIRMED,295.55505,49.017342,5468.0,4.367,1.046,15.4,41.43958662,10.5989,2793.1,5.5,16.72,516.0,295.55505,49.017342,Kepler
CONFIRMED,285.49924,49.277351,5592.0,4.582,0.787,15.317,8.35389523,2.2514,1041.6,2.52,91.9,790.0,285.49924,49.277351,Kepler
CONFIRMED,291.93616,49.253979,6174.0,4.417,1.103,15.506,4.125543472,3.1744,1487.3,4.43,565.35,1243.0,291.93616,49.253979,Kepler
CONFIRMED,297.01547,49.225288,5532.0,4.452,0.955,15.052,2.816504904,2.50587,16814.0,12.21,521.13,1219.0,297.01547,49.225288,Kepler
FALSE POSITIVE,284.17233,49.360722,5040.0,4.628,0.705,15.716,33.93373447,14.561,8503.7,7.34,8.11,430.0,284.17233,49.360722,Kepler
CONFIRMED,291.62241,50.61824,5880.0,4.518,0.917,15.242,3.689920099,2.6557,426.7,1.89,408.99,1147.0,291.62241,50.61824,Kepler
CONFIRMED,295.81616,51.121738,5714.0,4.428,1.015,15.367,4.431238488,3.15,1010.9,3.25,351.23,1104.0,295.81616,51.121738,Kepler
CONFIRMED,295.81616,51.121738,5714.0,4.428,1.015,15.367,11.37936986,2.6255,1023.5,3.95,99.68,806.0,295.81616,51.121738,Kepler
CONFIRMED,289.39972,51.25032,5129.0,4.595,0.763,15.234,26.39432897,3.573,1510.9,3.07,13.49,489.0,289.39972,51.25032,Kepler
CONFIRMED,300.86398,44.337551,5854.0,4.406,1.012,12.882,13.57078281,3.3539,511.7,2.64,89.61,785.0,300.86398,44.337551,Kepler
CONFIRMED,287.88733,46.276241,5779.0,4.339,1.087,12.791,7.12594387,3.0014,192.4,1.79,233.31,997.0,287.88733,46.276241,Kepler
FALSE POSITIVE,288.98682,49.733742,6108.0,4.469,0.956,15.27,7.442652004,2.3078,24446.0,15.03,206.78,967.0,288.98682,49.733742,Kepler
CONFIRMED,286.73804,49.97575,4126.0,4.661,0.615,15.095,16.38489988,3.0249,1127.1,2.0,8.35,433.0,286.73804,49.97575,Kepler
CONFIRMED,286.73804,49.97575,4126.0,4.661,0.615,15.095,7.8774163,2.0805,1306.1,2.16,22.18,553.0,286.73804,49.97575,Kepler
CONFIRMED,286.73804,49.97575,4126.0,4.661,0.615,15.095,36.4454001,4.007,1122.3,1.99,2.88,332.0,286.73804,49.97575,Kepler
CONFIRMED,290.78574,50.054119,5497.0,4.577,0.809,15.523,3.728732147,2.683,5226.5,6.02,258.34,1023.0,290.78574,50.054119,Kepler
CANDIDATE,294.31686,50.080231,5446.0,4.507,0.781,15.487,40.4195037,3.362,6256.0,7.51,11.29,467.0,294.31686,50.080231,Kepler
CONFIRMED,285.17621,50.149818,4149.0,4.698,0.564,15.135,2.243380573,1.1196,821.7,1.99,107.6,822.0,285.17621,50.149818,Kepler
FALSE POSITIVE,289.23553,50.241001,5746.0,4.393,0.924,15.562,10.405998015,6.5036,14489.0,11.23,113.94,833.0,289.23553,50.241001,Kepler
